Disp,Address,City,Zip,County,Del. zone,License #,District #,District,Opened
Natures Treatment - Galesburg,735 W. Main St.,Galesburg,61401,Knox,Zone 15.0,284000054,15,West Central Illinois Nonmetropolitan,4/17/2020
Rise - Niles,9621 N Milwaukee Ave.,Niles,60714,Cook,Zone 5.21,284000055,5,Chicago-Naperville-Elgin,5/22/2020
Sunnyside - Danville,369 Lynch Dr.,Danville,61834,Vermilion,Zone 4.0,284000056,6,Danville,5/22/2020
Consume - Carbondale,201 E. Main Street,Carbondale,62901,Jackson,Zone 17.2,284000058,3,Carbondale-Marion,6/19/2020
Sunnyside - South Beloit,7000 First Ranger Dr.,South Beloit,61080,Winnebago,Zone 11.0,284000059,11,Rockford,7/8/2020
Trinity - Peoria (Glen),2301 W. Glen Ave.,Peoria,61614,Peoria,Zone 10.0,284000060,10,Peoria,7/23/2020
Sunnyside - Schaumburg,1739 E. Golf Rd.,Schaumburg,60173,Cook,Zone 5.91,284000061,5,Chicago-Naperville-Elgin,7/31/2020
Natures Care - Chicago,810 W. Randolph St.,Chicago,60607,Cook,Zone 5.11,284000064,5,Chicago-Naperville-Elgin,8/30/2020
Cannabist - Villa Park,133 Roosevelt Rd.,Villa Park,60181,DuPage,Zone 5.51,284000065,5,Chicago-Naperville-Elgin,9/16/2020
Thrive - Mt. Vernon,800 S 45th St,Mount Vernon,62864,Jefferson,Zone 17.3,284000066,17,South Illinois Nonmetropolitan,9/17/2020
Zen Leaf - Aurora,740 IL Rte 59,Aurora,60504,DuPage,Zone 5.61,284000068,5,Chicago-Naperville-Elgin,10/12/2020
Ascend - Springfield (Horizon Dr),3201 Horizon Dr.,Springfield,62703,Sangamon,Zone 13.0,284000069,13,Springfield,10/29/2020
Consume - Oakbrook Terrace,1S130 Summit Ave.,Oakbrook Terrace,60181,DuPage,Zone 5.51,284000070,5,Chicago-Naperville-Elgin,10/30/2020
NuEra - Aurora,1415 Corporate Blvd.,Aurora,60502,Cook,Zone 5.61,284000072,5,Chicago-Naperville-Elgin,11/6/2020
Dispensary 33 - Fulton Market,1152 W. Randolph,Chicago,60607,Cook,Zone 5.11,284000073,5,Chicago-Naperville-Elgin,11/6/2020
Mission - Calumet City,1330 Torrence Ave.,Calumet City,60409,Cook,Zone 5.8,284000075,5,Chicago-Naperville-Elgin,12/11/2020
Zen Leaf - Naperville,1516 N. Naper Blvd,Naperville,60563,DuPage,Zone 5.61,284000078,5,Chicago-Naperville-Elgin,12/16/2020
Beyond/Hello - Sauget (Mississippi),1401 Mississippi Ave. Ste. 17,Sauget,62201,St. Clair,Zone 12.0,284000079,12,St. Louis,12/18/2020
Sunnyside - Naperville,2740 W 75th St,Naperville,60564,DuPage,Zone 5.61,284000080,5,Chicago-Naperville-Elgin,12/18/2020
Zen Leaf - Prospect Heights,1434 N Rand Rd.,Prospect Heights,60070,Cook,Zone 5.92,284000081,5,Chicago-Naperville-Elgin,12/24/2020
Earthmed - Rosemont,10441 E. Touhy Ave.,Rosemont,60018,Cook,Zone 5.21,284000082,5,Chicago-Naperville-Elgin,12/28/2020
Beyond/Hello - Bloomington,118 Keaton Place,Bloomington,61704,McLean,Zone 1.0,284000085,1,Bloomington,1/22/2021
Curaleaf - Lincoln Park,923 W. Weed St.,Chicago,60642,Cook,Zone 5.1,284000089,5,Chicago-Naperville-Elgin,6/15/2020
Curaleaf - Northbrook,755 Skokie Blvd.,Northbrook,60602,Cook,Zone 5.3,284000090,5,Chicago-Naperville-Elgin,9/23/2020
Curaleaf - Melrose Park,1413 West North Ave.,Melrose Park,60160,Cook,Zone 5.52,284000091,5,Chicago-Naperville-Elgin,11/4/2020
Curaleaf - Skokie,10000 Skokie Blvd,Skokie,60077,Cook,Zone 5.2,284000093,5,Chicago-Naperville-Elgin,8/26/2020
Verilife - Rosemont,5540 Park Pl,Rosemont,60018,Cook,Zone 5.21,284000096,5,Chicago-Naperville-Elgin,2/19/2021
Verilife - Galena,115 Perry St.,Galena,61036,Jo Daviess,Zone 14.0,284000097,14,Northwest Illinois nonmetropolitan area,2/19/2021
Verilife - River North,60 W Superior St,Chicago,60654,Cook,Zone 5.11,284000099,5,Chicago-Naperville-Elgin,3/9/2021
Windy City - Highwood,260 Green Bay Rd.,Highwood,60040,Lake,Zone 5.3,284000100,5,Chicago-Naperville-Elgin,3/11/2021
Zen Leaf - Lombard,783 Butterfield Rd.,Lombard,60148,DuPage,Zone 5.51,284000101,5,Chicago-Naperville-Elgin,3/12/2021
The Happy Cannabis Company - Loves Park,4120 N Bell School Rd,Loves Park,61111,Winnebago,Zone 11.0,284000102,11,Rockford,3/16/2021
Ascend - Fairview Heights,114 Commerce Ln,Fairview Heights,62208,St. Clair,Zone 12.0,284000104,12,St. Louis,3/17/2021
Hatch - Wheeling,1500 E Lake Cook Rd,Wheeling,60090,Lake,Zone 5.3,284000105,5,Chicago-Naperville-Elgin,3/17/2021
Dutchess - Morton Grove,6761 Dempster St,Morton Grove,60053,Cook,Zone 5.21,284000106,5,Chicago-Naperville-Elgin,3/18/2021
Zen Leaf - West Loop,222 S Halsted St,Chicago,60661,Cook,Zone 5.11,284000107,5,Chicago-Naperville-Elgin,3/19/2021
Verilife - Schaumburg,150 N Barrington Rd,Schaumburg,60194,Cook,Zone 5.91,284000108,5,Chicago-Naperville-Elgin,3/19/2021
Rise - Lake in the Hills,270 N Randall Rd,Lake In The Hills,60156,McHenry,Zone 5.72,284000110,5,Chicago-Naperville-Elgin,3/23/2021
