Zone,License,District,District
5.8,284000159,5,Chicago-Naperville-Elgin
5.8,284000290,5,Chicago-Naperville-Elgin
5.8,284000075,5,Chicago-Naperville-Elgin
5.8,284000281,5,Chicago-Naperville-Elgin
5.8,280000026,5,Chicago-Naperville-Elgin
5.81,280000017,5,Chicago-Naperville-Elgin
5.81,284000158,5,Chicago-Naperville-Elgin
5.81,284000244,5,Chicago-Naperville-Elgin
5.81,284000149,5,Chicago-Naperville-Elgin
5.81,284000296,5,Chicago-Naperville-Elgin
5.81,284000333,5,Chicago-Naperville-Elgin
5.81,284000202,5,Chicago-Naperville-Elgin
5.81,280000019,5,Chicago-Naperville-Elgin
5.91,284000287,5,Chicago-Naperville-Elgin
5.91,284000356,5,Chicago-Naperville-Elgin
5.91,284000270,5,Chicago-Naperville-Elgin
5.91,284000329,5,Chicago-Naperville-Elgin
5.91,284000141,5,Chicago-Naperville-Elgin
5.91,284000123,5,Chicago-Naperville-Elgin
5.91,284000222,5,Chicago-Naperville-Elgin
5.91,284000270,5,Chicago-Naperville-Elgin
5.91,284000271,5,Chicago-Naperville-Elgin
5.91,284000061,5,Chicago-Naperville-Elgin
5.91,280000007,5,Chicago-Naperville-Elgin
5.91,284000108,5,Chicago-Naperville-Elgin
5.92,280000024,5,Chicago-Naperville-Elgin
5.92,284000251,5,Chicago-Naperville-Elgin
5.92,284000250,5,Chicago-Naperville-Elgin
5.92,280000015,5,Chicago-Naperville-Elgin
5.92,284000196,5,Chicago-Naperville-Elgin
5.92,284000204,5,Chicago-Naperville-Elgin
5.92,284000081,5,Chicago-Naperville-Elgin
7.0,280000025,7,Davenport-Moline-Rock Island
7.0,284000174,7,Davenport-Moline-Rock Island
7.0,284000351,14,Northwest Illinois nonmetropolitan area
7.0,284000176,7,Davenport-Moline-Rock Island
7.0,284000175,7,Davenport-Moline-Rock Island
7.0,280000039,15,West Central Illinois Nonmetropolitan
8.0,284000218,8,Decatur
8.0,284000312,8,Decatur
9.0,284000219,9,Kankakee
9.0,284000311,9,Kankakee
9.0,284000229,9,Kankakee
